pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,2,2731,GRP,G. R. Pophali,WTMD,ESDM,"Adequacy Assessment Studies,upgradation And Retrofitting Of 7 Cetps In Ahmedabad Gujarat","Gujarat Pollution Control Board,",44543,45291,,70,ONG,Environmental Engineering,Chemical Engineering,Civil Engineering,Water Treatment,Waste Management,Industrial Processes,Project Management,Environmental Regulations And Policies,Sustainability,Risk Assessment And Management,,,,,,,,
GAP,1,2732,SK/AM,"S.Kumari,A.Middey",APC,AP,"Atmoshperic Aerosols And Their Impact On Sikkim Himalaya Regions,india:probe To Environmental Challenges In Dynamic Regional Climate","Dst, New Delhi",44526,45622,,20.19,ONG,Atmospheric Science,Environmental Science,Climate Change Adaptation And Mitigation,Geology,Geography,Ecology,Meteorology,Chemistry,Physics,Data Analysis And Modeling,,,,,,,,
GAP,1,2733,RD,R. Dhodapkar,EBGD,WM,Installation Of Ozone Generation Within Indo Eu Project Entitled Photo- Irradiation And Adsorption Based Novel Innovations For Water Treatment,"Air Force Command, Vayusena Nagar, Nagpur",44532,45016,,5,ONG,Ozone Generation Technology,Water Treatment Processes,Photo-irradiation Technology,Adsorption Technology,Chemical Engineering,Environmental Engineering,Project Management,Quality Control And Assurance,Pubic Health And Safety,Sustainability And Environmental Impact Assessment.,,,,,,,,
CNP,7,2734,RW,R.Wathore,ERMD,Nil,Indoor Air Pollution Control And Health Burden Reduction Through Introduction Of Neerdhur Improved Cookstove In Rural Maharashtra,"Ecumenical Sangam, Nagpur",44552,46012,,6,ONG,Indoor Air Quality,Air Pollution And Its Effects On Human Health,Traditional Cooking Practices And Their Contribution To Indoor Air Pollution,Design And Technology,Performance Evaluation,Policy And Regulatory,Nil,Nil,Nil,Nil,,,,,,,,
CNP,2,2735,SB,S. Basha,HZC,EM,"Construction Of Diversion Weir And Channel For Byramangala Reservoir Of Rammagara Taluk, RamanagarA.D.Bhanarkaristrict, Karnataka- Expert Opinion Of Neeri","Cauvery Neeravari Nigama Limited (cnnl), Bangalore",44197,44561,,25,ONG,Civil Engineering,Hydrology,Geotechnical Engineering,Environmental Engineering,Structural Engineering,Water Resources Engineering,Construction Management,Project Management,Surveying And Mapping,Materials Science,,,,,,,,
GAP,1,2736,SK,S. Kumar,WRD,Nil,Sustainable And Integrated Solution For Monitoring And Remediation Of Emerging Contaminants (organo-chlorine) From Non- Point Source,"Dst, New Delhi",44593,45716,,1 26,ONG,Environmental Science,Chemistry,Toxicology,Water Resource Management,Soil Science,Environmental Engineering,Bioremediation,Environmental Policy,Risk Assessment,Data Analysis And Modeling.,,,,,,,,
GAP,5,2737,SK,S. Kumar,WRD,Nil,Pre - Feasibility Study Concerning Biogas Production From Individual Substrates Or Co - Digestion,"Ivl, Swedish Environmental Research Institute, Valhallagen",,,,53765,ONG,Biogas Production Technology,Substrate Selection And Characterization,Anaerobic Digestion Process Optimization,Biogas Composition And Quality Analysis,Energy And Environmental Sustainability Assessment,Economic Feasibility Analysis,Regulatory And Policy Framework,Market Analysis For Biogas And Related Products,Project Management And Implementation,Risk Assessment And Mitigation Strategies.,,,,,,,,
CNP,7,2738,SB,S. Basha,HZC,EM,"Assessment Of Impacts On Air Environment Due To The Proposed Changes In Capacities And Utilization Of Existing Facilities Of The Captive Power Plants At Grasim Industries Ltd Vilayat, Gujarat",Grasim Industries Ltd. Vilayat,44501,45412,,1 65,ONG,Air Pollution Monitoring And Measurement Techniques,Environmental Impact Assessment,Industrial Emissions Control Technologies,Energy Generation And Utilization Systems,Chemical Engineering,Environmental Regulations And Policies,Public Health And Safety,Statistical Analysis And Modeling,Geographic Information Systems And Remote Sensing,Stakeholder Engagement And Communication Strategies.,,,,,,,,
TSP,7,2739,MSK,M.S.Kumar,EISD,EISD,Third Party Audit Of Mine Closure Activities Carried Out During 5 Years Period,Mahalaxmi P C Patel Consortium Pvt. Ltd.,44593,45322,,25,ONG,Mining Operations And Processes,Environmental Regulations And Compliance,Pubic Health And Safety,Risk Management And Assessment,Financial Management And Accounting,Project Management And Planning,Stakeholder Engagement And Communication,Legal And Contractual Obligations,Closure Planning And Implementation,Monitoring And Reporting Of Closure Activities.,,,,,,,,
CNP,7,2740,SB,S. Basha,HZC,EM,"Evaluation Of Solvent Recoverysystem Of Deccan Chemicals, Tuni, Andhra Pradesh",Deccan Fine Chemicals (india) Pvt. Ltd,44501,45412,,1 6,ONG,Chemical Engineering,Process Engineering,Environmental Engineering,Industrial Safety,Waste Management,Analytical Chemistry,Quality Control,Energy Efficiency,Cost Analysis,Regulatory Compliance,,,,,,,,
GAP,1,2741,SK,S. Kumar,WRD,S & HWM,Implementation Of Green Technology For Integrated & Sustainable Development And Capacity Building Of A Low - Income Village In U.p,"Department Of Science And Technology, New Delhi",44593,45689,,5,ONG,Renewable Energy Technologies,Sustainable Agriculture And Farming Practices,Waste Management And Recycling,Water Conservation And Management,Green Building And Construction,Environmental Policy And Regulations,Community Development And Engagement,Climate Change Adaptation And Mitigation,Sustainable Transportation And Mobility,Green Business And Entrepreneurship.,,,,,,,,
TSP,1,2743,PSR,P. S. Rao,EA & PI,EE,Development Of National Program For Capacity Development For Aqm Aligned With National Skills Qualification Framework Of India,"Iit Kanpur, Up",44597,44961,45291,1,ONG,Air Quality Management,National Skills Qualification Framework Nsqf,Environmental Science And Engineering,Policy And Governance,Education And Training,Curriculum Development,Capacity Building And Training,Monitoring And Evaluation,Sustainable Development,Stakeholder Engagement And Communication.,,,,,,,,
CNP,2,2744,NG,N. Goyal,MZC,Nil,Ambient Air Quality Monitoring And Audit Of Ready - Mix Concrete (rmc) Plants And Building Construction Sites Of Mumbai Region,"Maharastra Pollution Control Board (mpcb), Mumbai.",44621,44985,,1 635,ONG,Environmental Science,Air Quality Monitoring,Building Construction,Ready-mix Concrete Rmc Plants,Pollution Control,Environmental Regulations,Data Analysis,Quality Assurance,Health And Safety,Project Management,,,,,,,,
CNP,1,2745,SG/PM,"S K Goyal, P Mandal",DZC,EM,Inspection Of Grossly Polluting Industries (gpis) (total 154 Nos.) In River Ganga And Yamuna Basin,"Central Pollution Control Board (cpcb),new Delhi",44562,45291,,6 3,ONG,Environmental Science,Pollution Control,Water Quality Management,Industrial Engineering,Chemical Engineering,Environmental Law And Policy,Waste Management,Water Resource Management,Environmental Monitoring And Assessment,Sustainable Development,,,,,,,,
CNP,2,2746,NG,N. Goyal,MZC,Nil,"Environmental Monitoring Of Msw Processing And Disposal Corporation Of Greater Mumbai (mcgm), Mumbai","Municipal Corporation Of Greater Mumbai (mcgm), Mumbai",44593,46022,,16 6,ONG,Waste Management,Environmental Science,Pollution Control,Landfill Engineering,Water Quality Monitoring,Air Quality Monitoring,Hazardous Waste Management,Sustainable Development,Public Health,Environmental Policy And Regulations.,,,,,,,,
GAP,2,2747,LD,L. Deshpande,WTMD,Nil,"Sustainable Water Resource Management Through Conservation And Utilisation Plan For The Rivers Of Gadchiroli District, Vidarbha Region,maharastra","District Mineral Foundation (dmf),gadchiroli,maharastra",44606,45882,,100,ONG,Water Resource Management,Conservation Strategies,Utilisation Plans,River Ecology,Environmental Sustainability,Water Quality Monitoring,Community Engagement And Participation,Policy And Governance Frameworks,Climate Change Adaptation And Mitigation,Stakeholder Analysis And Management.,,,,,,,,
CNP,3,2748,SK,S. Kosankar,EBGD,Nil,Bioassay Test Of Hasdeo And Ahiran River Near Gevra Open Cast Coal Mine Of South Eastern Coalfealds Limited Gevra Area Korba Chhattisgarh India,M/s South Eastern Coalfield Ltd.,44622,46813,,2 5,ONG,Environmental Science,Water Quality Analysis,Toxicology,Ecotoxicology,Aquatic Biology,Coal Mining And Its Impact On The Environment,Environmental Monitoring And Assessment,Statistical Analysis,Geographical Information Systems Gis,Regulatory Compliance And Environmental Policy.,,,,,,,,
GAP,1,2749,SAB,S.A.Bhat,WRD,Nil,Valorisation Of Dewatered Sludge Through Earthworms:an Insight Towards Fate Of Heavy Metals And Antibiotic Resistance Genes,"Science And Engineering Research Board (serb),new Delhi",44586,45315,,21.312,ONG,Wastewater Treatment,Sludge Management,Soil Science,Environmental Microbiology,Heavy Metal Analysis,Antibiotic Resistance Genes,Earthworm Biology,Vermicomposting,Bioremediation,Environmental Toxicology,,,,,,,,
GAP,1,2750,"AS, AVM","A. Sharma, A. V. Maldhure","CTMD, WTMD",Nil,Affordable Iot-enabled Water Service Delivery Measurement And Monitoring Sensing System For Rural Deployment,"Department Of Drinking Water & Sanitation,ministry Of Jal Shakti,new Delhi",44581,45097,,5 2135,ONG,Internet Of Things Iot Technology And Applications,Water Distribution Systems,Water Distribution Systems,Sensor Technology And Data Collection,Wireless Communication Protocols And Networks,Data Analytics And Visualization,Energy-efficient And Sustainable Design Principles,User-centered Design And Human Factors,Regulatory Compliance And Standards,Project Management And Implementation Strategies.,,,,,,,,
CNP,2,2751,SYB,S.Y.Bodkhe,CHWMD,Nil,Assessment Of The Probable Contaminated Site At Karavale Village Near Kalyan In The State Of Maharastra,"Maharastra Pollution Control Board,mumbai",44682,45412,,25,ONG,Environmental Science,Geology,Hydrogeology,Soil Science,Chemistry,Toxicology,Risk Assessment,Environmental Law And Regulations,Remediation Technologies,Geographic Information Systems,,,,,,,,
CNP,7,2752,SB,S.Basha,HZC,Nil,"Assessment Of Ambient Air Quality And Groundwater/surface Water Quality In The Surronding Area Of The Proposed Township At Thangedpally And Devulamma Nagram Village,choutuppal Mandal,yadadri Dist,telangana","Epitome Projects Llp,hyderrabad",44593,45961,,2 491,ONG,Environmental Science,Chemistry,Geology,Hydrology,Meteorology,Toxicology,Ecology,Public Health,Water Resource Management,Environmental Law And Policy,,,,,,,,
CNP,7,2753,PRP,P.R.Pujari,WTMD,Nil,Hydrogeokogical Geophysical And Soil Studies For The Slf Cell-v Of The Pithampur Tsdf,"Pithampur Iwm Pvt.ltd,hyderabad",44805,45716,,25,ONG,Hydrogeology,Geophysics,Soil Science,Environmental Science,Chemistry,Geology,Water Resource Management,Groundwater Modeling,Remote Sensing And Gis,Waste Management And Disposal Techniques,,,,,,,,
CNP,3,2754,SK,S. Kosankar,EBGD,Nil,Assesment Of Riverrine Ecosystem Of Ahiran And Lilagarh Rivers For Development Of Conservation And Management Plan,South Eastern Coalfield Ltd. Korba Chhattisgarh,44622,46813,,2 5,ONG,Ecology,Hydrology,Limnology,Water Quality Analysis,Biodiversity Assessment,Habitat Assessment,Fisheries Management,Environmental Policy And Regulations,Geographic Information Systems,Stakeholder Engagement And Community Outreach.,,,,,,,,
CNP,1,2755,"RK,PRT","R. Karthik, P. R. Thawale",EBGD,Nil,"Treatment And Disposal Of Effluent From M/s Datwyler Pharma Packing India Pvt Ltd,using High Rate Transpiration System","Datwyler Pharma Packaging India Pvt,ltd- Satara",44554,45100,,2 6416,ONG,Industrial Wastewater Treatment,High Rate Transpiration System Design And Operation,Chemical And Biological Treatment Processes,Effluent Characterization And Analysis,Environmental Regulations And Compliance,Water Conservation And Reuse Strategies,Process Optimization And Efficiency,Health And Safety Considerations,Project Management And Implementation,Cost Analysis And Financial Planning.,,,,,,,,
GAP,1,2756,PN,P.Nagababu,EMD,Nil,Metallic Nanocomposites Embedded Graphene Architecture For Rapid And In-situ Degradation Of Recalcitrant Contaminants In Water And Wastewater,Department If Science & Technology New Delhi,44610,45716,,2 08125,ONG,Materials Science,Nanotechnology,Chemistry,Environmental Science,Chemical Engineering,Water Treatment,Wastewater Treatment,Surface Science,Catalysis,Analytical Chemistry,,,,,,,,
CNP,7,2757,SP,Sukdev Pal,WWT,Nil,"Comprehensiv Study For Wastewater Management In Processing Unit,chalisgaon","Gujrat Ambuja Exports Ltd,jalgaon,maharastra",44641,45371,,30,ONG,Wastewater Treatment Technologies,Wastewater Treatment Processes,Environmental Regulations And Policies,Water Quality Analysis,Public Health And Safety,Energy Efficiency,Industrial Wastewater Treatment,Risk Assessment And Management,Economic Analysis And Cost-benefit Analysis For Wastewater Management Projects,Nil,,,,,,,,
CNP,3,2758,SP,Sukdev Pal,WWT,Nil,Demonstration Of Csir-neeri Developed Carid Technology For Removal Of Calcium From Process Eflient Of Manali Pertrochemicals Limited.,"M/s Manali Petrochemicals Limited,-chennai.",44641,45371,,8,ONG,Chemical Engineering,Environmental Engineering,Water Treatment Technology,Industrial Wastewater Treatment,Process Engineering,Petrochemical Industry,Analytical Chemistry,Materials Science,Pollution Control,Sustainable Development,,,,,,,,
CNP,7,2759,SB,S.Basha,HZC,Nil,"Assessment Of Odour And Vocs In And Around Bhagiradha Chemicals And Industries Ltd.,ongole,andra Pradesh,",M/s. Bhagiratha Chemicals & Industries Limited-hyderabad.,44621,45716,,45,ONG,Odor And Vocs Measurement Techniques,Chemical And Industrial Processes,Environmental Regulations And Standards,Air Quality Monitoring,Pubic Health And Safety,Statistical Analysis And Data Interpretation,Risk Assessment And Management,Chemical Engineering,Waste Management And Disposal,Communication And Stakeholder Engagement.,,,,,,,,
CNP,7,2760,PRP,P.R.Pujari,WTMD,Nil,Hydrogeokogical Studies In And Around Ril-dmd Complex,M/s Reliance Industrics Limited.-baruch (gujarat).,44635,45730,,3 6,ONG,Hydrogeology,Geology,Environmental Science,Water Resource Management,Groundwater Modeling,Hydrochemistry,Geotechnical Engineering,Remote Sensing And Gis,Soil Science,Hydrology,,,,,,,,
CNP,2,2761,DM,D.Majumdar,KZC,Nil,"Project Modules: 1. Emission Inventory, Source Apportionment And

Carrying Capacity Study Of Barrackpore Police Commissionerate Area In West Bengal Emission Inventory, Source Apportionment And Carrying Capacity Study Of Haldia City

In West Bengal","West Bengal Pollution Control Board.- Bidhannagar, Kolkata.",44601,45505,,4,ONG,Environmental Science,Air Quality Monitoring And Analysis,Statistical Analysis,Geographic Information Systems,Data Collection And Management,Pollution Control Technologies,Environmental Policy And Regulations,Urban Planning And Development,Public Health And Safety,Stakeholder Engagement And Communication.,,,,,,,,
GAP,1,2762,AS,A. Sargaonkar,CTMD,Nil,Guidelines On Selection Of Pipe Material For Water Supply And Sewerage Systems Based On Life Cycle Cost Analysis,"Cpheeo,ministry And Urban Affairs,government Of India-new Delhi",44652,45046,,1 1056,ONG,Materials Science And Engineering,Civil Engineering,Environmental Engineering,Water Supply And Sewerage Systems Design,Life Cycle Cost Analysis,Sustainability And Environmental Impact Assessment,Project Management,Risk Assessment And Management,Regulatory Compliance And Standards,Economic Analysis And Financial Management.,,,,,,,,
GAP,1,2763,KK,K. Krishnamurthi,HTC,Nil,Development Of Eco-friendly Cow Dung Based Herbal Mosquito Repellent Sticks/coil,"Department Of Science & Technology (dst), New Delhi",44652,45382,,01 06,ONG,Cow Dung Processing And Utilization,Herbal Medicine And Plant Extracts,Mosquito Biology And Behavior,Chemistry Of Mosquito Repellents,Environmental Sustainability And Impact Assessment,Product Design And Development,Manufacturing And Production Processes,Marketing And Sales Strategies,Regulatory Compliance And Certification,Consumer Behavior And Preferences.,,,,,,,,
GAP,5,2764,AL,Asha Lalwani,APC,Nil,Advanced Source Apportionment And Health Impact In Cities Of India,"The Paul Scherrer Institute(psi),switzerland",44580,45199,,18 01141,ONG,Air Pollution Monitoring And Measurement Techniques,Chemistry,Epidemiology And Public Health,Urban Planning And Transportation,Environmental Policy And Regulation,Data Analysis And Statistical Modeling,Physics,Source Apportionment Methods And Techniques,Climate Change Adaptation And Mitigation,Public Health,,,,,,,,
CNP,7,2765,ADB,A.D.Bhanarkar,APC,Nil,"Workplace Emission Monitoring At Vedanta Pig Iron Plant, Amona, Goa And Pm10 & Pm 5 Source Apportionment Study In The Vicinity Of The Plant","Goa State Pollution Control Board - Bardez, Goa",,,,8 7,ONG,Environmental Science,Air Quality Monitoring,Chemical Engineering,Industrial Emissions Control,Data Analysis And Interpretation,Public Health And Safety,Pollution Control Technologies,Regulatory Compliance,Statistical Analysis,Sustainable Development And Corporate Social Responsibility.,,,,,,,,
GAP,1,2766,AVM,A.V.Maldhure,WTMD,Nil,"Impact On Peak Factor, Water Quantity And Quality At Consumer Ends Due To Continuing Use Of Underground Storage Sumps After Conversion Of Intermittent To Continuous Water Supply","Cpheeo, Ministry Of Housing & Urban Affairs, (new Delhi)",44682,45291,,1 62306,ONG,Water Supply Systems,Water Distribution Networks,Water Quality Analysis,Water Treatment Technologies,Hydrogeology And Groundwater Management,Environmental Impact Assessment,Water Conservation,Policy And Regulatory Frameworks,Consumer Behavior And Water Usage Patterns,,,,,,,,,
CNP,7,2767,PVN,P. V. Nidheesh,EISD,Nil,Third Party Audit Of Mine Closure Activities Carried Out During 3year Period (2018-13 To 2022-21),"P C Patel Mahalaxmi Infra Llp.-nizampura,vadodara",44652,45382,,835,ONG,Mining Operations And Processes,Environmental Regulations And Compliance,Pubic Health And Safety And Compliance,Risk Management And Assessment,Financial Management And Accounting,Legal And Contractual Obligations,Project Management And Planning,Stakeholder Engagement And Communication,Data Analysis And Reporting,Audit And Assurance Methodologies And Standards.,,,,,,,,
CNP,7,2768,PVN,P. V. Nidheesh,EISD,Nil,"Inspectional Studies Through Environmental Compliance Audit At M/s Adani Port And Sez Limited, Mundra, Gujarat",Adani Ports And Sez Limited (apsezl),44652,45016,,11.8,ONG,Environmental Regulations And Compliance,Air Quality Monitoring,Waste Management And Disposal Practices,Water Quality Monitoring,Hazardous Materials Handling And Storage,Public Health And Safety Protocols,Environmental Impact Assessment,Environmental Management Systems And Policies,Legal And Policy And Regulatory Frameworksfor Environmental Compliance,Risk Assessment And Mitigation Strategies.,,,,,,,,
GAP,7,2769,SR,S. Rayalu,EMD,Nil,"Facility Creation For ""testing And Research And Development For Firecrackers - Raw Materials, Compositions And Emissions (race)","Fireworks Industries, Tanfama, Tifma, Sivakasi",44652,45746,,600,ONG,Chemical Engineering,Materials Science,Environmental Science,Fire Science,Safety Engineering,Industrial Design,Mechanical Engineering,Electrical Engineering,Quality Control,Regulatory Compliance,,,,,,,,
TSP,7,2770,PM,P. Manekar,WWT,Nil,"Feasibility And Technical Support For

Hospital Wastewater Treatment At M/s Matru Sewa Sangh, Nagpur","Matru Sewa Sangh, Sitabuldi, Nagpur",44682,45412,,5,ONG,Wastewater Treatment Technologies And Processes,Hospital Wastewater Characteristics And Composition,Environmental Regulations And Compliance,Wastewater Treatment Technologies And Processes,Project Management And Planning,Budgeting And Cost Estimation,Public Health And Safety,Equipment Selection And Maintenance,Chemical Handling And Dosing,Technical Report Writing And Documentation.,,,,,,,,
CNP,2,2771,PM,P. Manekar,WWT,Nil,"Feasibility Studies On Management For Govardhan And Radhakund Towns, Including Radhakhund Dehat, Anyore, And Jatipura","Drainage & Sewerage Unit, U.p., Jal Nigam

Waterworks",44743,45473,,1 7,ONG,Urban Planning And Development,Environmental Science And Sustainability,Public Administration And Governance,Economics And Financial Analysis,Social And Cultural Anthropology,Tourism And Hospitality Management,Infrastructure And Transportation Planning,Land Use And Zoning Regulations,Community Development And Engagement,Geographic Information Systems,,,,,,,,
TSP,2,2772,RB,R.Biniwale,CTMD,Nil,"Supervision Of Revamping Of Existing 500kld Phytorid Based Sewage

Treatment Plant At Lonar, Buldana","Nagar Parishad Lonar., Buldana, Maharashtra",,,,5,ONG,Wastewater Treatment Processes And Technologies,Phytorid Technology And Its Application In Sewage Treatment,Civil Engineering And Construction Management,Mechanical Engineering And Equipment Selection,Electrical Engineering And Control Systems,Environmental Regulations And Compliance,Health And Safety Protocols For Construction And Operation,Project Management And Scheduling,Budgeting And Cost Estimation,Quality Assurance And Quality Control Measures.,,,,,,,,
GAP,2,2773,"RV, NG, KVG","R.Vyawahare, N. Goyal,K. V.George","APC,MZC",Nil,Air Quality Monitoring And Emission Source Apportionment Studies For Seven (vii) Cities In The State Of Maharashtra.,"Maharashtra Pollution Control Board., Mumbai, Maharashtra",44729,46022,,350,ONG,Environmental Science,Atmospheric Science,Chemical Engineering,Data Analysis And Statistics,Geographic Information Systems,Air Pollution Control Technology,Public Health,Urban Planning,Policy And Regulations,Sustainable Development,,,,,,,,
CNP,7,2774,"S.R.S, J.J","S.R.Sanam,J Joseph","HZC,CHWMD",Nil,"Performance Evaluation Of The Secured Landfill Site Of Grasim Industries,karwar,karnataka","Grasin Industries Limited,chemical Division, Karwar,karnataka",44682,45777,,30,ONG,Waste Management,Environmental Engineering,Geotechnical Engineering,Landfill Design And Construction,Soil Mechanics,Hydrogeology,Groundwater Monitoring,Air Quality Monitoring,Regulatory Compliance,Risk Assessment And Management,,,,,,,,
CNP,1,2730,AG/HB,"A. Gupta, H. Bherwani",DZC/CTMD,EIA,Development Of 3 Tier Monitoring Mechanism For Ensuring Compliance Of Environmental Condition,National Productivity Council (npc) On Behalf Of Moefcc,44378,45657,,301.875,ONG,Environmental Science And Engineering,Environmental Law And Policy,Data Analysis And Management,Geographic Information Systems,Remote Sensing,Environmental Monitoring And Assessment,Environmental Health And Safety,Risk Assessment And Management,Sustainability And Corporate Social Responsibility,Project Management And Implementation,,,,,,,,
CNP,7,2776,R.S,R.Sivacoumar,CHZL,Nil,"Environmental Quality Assesssment (eqa) Of The Beach Resort & Theme Park Site Of M/s.gem Stone Beach Resort (p) Ltd,muttukuda,chennai,","Gem Stone Beach Resort (p) Ltd,chennai,tamil Nadu",44774,45504,,13,ONG,Environmental Science,Ecology,Geology,Hydrology,Oceanography,Environmental Engineering,Environmental Law And Policy,Environmental Impact Assessment,Environmental Monitoring And Sampling Techniques,Environmental Management And Planning.,,,,,,,,
CNP,2,2777,DM,Deepanjan Majumdar,KZC,Nil,Emission Inventory And Source Apportionment Study Of Byrnihat And Epip Area In Ri-bhoi District Of Meghalaya.,"Meghalaya State Pollution Control Board Forest And Environment Department ,shillong ,meghalaya",44733,46112,,7 5,ONG,Air Quality Monitoring,Environmental Science,Chemical Engineering,Atmospheric Science,Statistical Analysis,Geographic Information Systems,Industrial Processes And Emissions,Environmental Policy And Regulations,Health And Safety,Data Management And Analysis.,,,,,,,,
CNP,1,2779,"A.L, J. J","A.Lalwani, J. Joseph","APC, CHWMD",Nil,"Study On Assessment Of Damage To Environment And Suggestion For Restoration Plan In Morbi-wankanner Region ,gujarat","Central Pollution Control Board (cpcb), Vadodra , Gujarat",44748,45112,,45,ONG,Environmental Science,Ecology,Geology,Hydrology,Soil Science,Climate Change Adaptation And Mitigation,Environmental Law And Policy,Environmental Impact Assessment,Restoration Ecology,Geographic Information Systems And Remote Sensing.,,,,,,,,
TSP,2,2780,S.K,S. Kumar,WRD,Nil,Technical Verification And Appraisal Of Detailed Project Report (dpr) Prepared For Amravati Biomining Of Legacy Waste Amravati.,"Amravati Municipal Corporation, Amravati, Maharashtra.",44774,44804,,3,ONG,Waste Management,Environmental Engineering,Civil Engineering,Chemical Engineering,Geotechnical Engineering,Project Management,Financial Analysis,Risk Assessment,Regulatory Compliance,Sustainability And Social Impact Assessment.,,,,,,,,
CNP,7,2781,"S.P, R.V","S.Pal, R. Vijay",WWT,Nil,"Monitoring And Analysis Of Groundwater And Soil Quality After Decontamination Work By Benzo Chem Industries , Dasarkhed , Malkapur, Dist. Buldhana","Benzo Chem Industries Pvt. Ltd., Buldhana",44774,45504,,5,ONG,Groundwater And Soil Quality Monitoring Techniques,Contaminant Transport And Fate In Groundwater And Soil,Decontamination Methods And Technologies,Environmental Regulations And Compliance,Chemical Analysis And Laboratory Techniques,Geology And Hydrogeology,Risk Assessment And Management,Data Management And Analysis,Environmental Impact Assessment,Stakeholder Engagement And Communication.,,,,,,,,
TSP,1,2782,S.K. G,S.K.Goyal,DZC,Nil,Training On Advanced Instrumentation Techniques Especially Ion Chromatograph.,"Cental Pollution Control Board ( Cpcb),delhi",44621,44926,,1.34,ONG,Chemistry,Instrumentation,Analytical Techniques,Sample Preparation,Quality Control,Data Analysis,Laboratory Safety,Regulatory Compliance,Troubleshooting,Communication,,,,,,,,
CNP,3,2783,"B.P.R, S.B, A. M","B.Padma Rao. S. Basha, A. Middey","EAPI, HZC, KZC",Nil,"Source Appointment (sa) Study Considering All The Industries Within 15 Km Of The Area & Detailed Source Inventory Of The Area And Gevra Area, Korba , Chattishgrah Its Impact Around Gevra Open Cast Project Of South Rastern Coalfields Limited ,gevra ,kobra","South Eastern Coalfields Ltd., (secl), Korba , Chattishgarh.",44755,45850,,7 32,ONG,Environmental Science,Mining Engineering,Geology,Air Quality Monitoring,Water Quality Monitoring,Noise Pollution Monitoring,Pubic Health And Safety,Energy And Resource Management,Community Engagement And Social Responsibility,Legal And Regulatory Compliance.,,,,,,,,
CNP,1,2784,K.V.G,K. V.George,APC,Nil,Analysis Of Historical Ambient Air Quality Data Along With Emission From Coal Based Thermal Power Plant For Developinng A.D.Bhanarkarecision Support System.,"Niti Aayog , New Delhi.",,,,21,ONG,Environmental Science,Air Quality Monitoring,Statistical Analysis,Data Mining,Geographic Information Systems,Power Plant Emissions,Air Pollution And Its Effects On Human Health,Policy And Regulations Related To Air Quality,Decision Support Systems,Programming And Software Development.,,,,,,,,
CNP,5,2785,S.G,S.Gulia,DZC,Nil,Study On Emission Sources Mapping And Preparation Of Local Level Action Plan Around Air Pollution Hotspots,"Environment Defence Fund (edf),new York,usa",44713,45473,,4 1,ONG,Air Pollution Monitoring And Measurement Techniques,Emission Inventory Development And Management,Atmospheric Chemistry And Physics,Health Impacts Of Air Pollution,Urban Planning And Transportation Systems,Environmental Policy And Regulation,Geographic Information Systems And Spatial Analysis,Community Engagement And Outreach,Data Analysis And Visualization,Climate Change Adaptation And Mitigation,,,,,,,,
CNP,7,2786,S.D,S.Dhyani,WTMD,Nil,Bioaccumulation & Bio Magnification Study In And Around Low Laying Area Filled With Fly Ash Near Adani Power Maharashtra Limited,"Adani Power Maharashtra Ltd,(apml),gondia",44743,45838,,83985,ONG,Environmental Science,Toxicology,Ecology,Chemistry,Geology,Botany,Zoology,Environmental Engineering,Public Health,Environmental Policy And Regulation,,,,,,,,
CNP,4,2787,A.D.B,A.D.Bhanarkar,APC,Nil,"Performance Evaluation Of Esps At 3 *250 Mw Units Of New Parli Thermal Power Station (nptps),parli-vaijnath,maharashtra","Maharashtra State Power Generation ,vaijnath",44805,45169,,33,ONG,Power Generation And Distribution,Electrical Engineering,Thermal Power Plants,Environmental Science,Pollution Control,Energy Efficiency,Data Analysis And Interpretation,Performance Metrics And Indicators,Project Management,Technical Report Writing And Presentation Skills,,,,,,,,
CNP,7,2788,"K.R,P.T","K. Raghunathan,P.R.Thawale",EBGD,Nil,"Regeneration And Assimilation Of Natural Flora To Develop Green Belt In Saftey Zone Of The Mining Lease Area At Nagpur,jodhpur,rajasthan Using Phyto Hydraulic Management System.","Ultratech Cement Limited,jodhpur-rajasthan",44805,45352,,10,ONG,Botany,Ecology,Soil Science,Hydrology,Environmental Science,Geology,Mining Engineering,Land Use Planning,Gis And Remote Sensing,Project Management,,,,,,,,
CNP,2,2789,S.B,S.Y.Bodkhe,CHWMD,Nil,Vetting Of Design And Drawing For Construction Of Landfill For The Insert Msw Of Mira Bhayander Muncipal Corporation Bhayander (w),"Mira Bhayander Muncipal Corporation ,thane",44866,45046,,5,ONG,Civil Engineering,Environmental Engineering,Geotechnical Engineering,Waste Management,Landfill Design,Construction Management,Project Management,Regulatory Compliance,Health And Safety,Quality Control And Assurance.,,,,,,,,
